State,District,Date,Year,Month,Avg_rainfall,Agency_name
Telangana,Medak,2025-06-22,2025,06,1.0101809729,NRSC VIC MODEL
Telangana,Medak,2025-06-28,2025,06,0.4752279534,NRSC VIC MODEL
Telangana,Medak,2025-06-30,2025,06,3.6265132359,NRSC VIC MODEL
Telangana,Medchal Malkajgiri,2025-01-05,2025,01,0.1074418862,NRSC VIC MODEL
Telangana,Medchal Malkajgiri,2025-01-07,2025,01,0.0,NRSC VIC MODEL
Telangana,Medchal Malkajgiri,2025-01-11,2025,01,0.0,NRSC VIC MODEL
Telangana,Medchal Malkajgiri,2025-01-26,2025,01,0.0,NRSC VIC MODEL
Telangana,Medchal Malkajgiri,2025-01-27,2025,01,0.0,NRSC VIC MODEL
Telangana,Medchal Malkajgiri,2025-01-28,2025,01,0.0,NRSC VIC MODEL
Telangana,Medchal Malkajgiri,2025-02-07,2025,02,0.0,NRSC VIC MODEL
Telangana,Medchal Malkajgiri,2025-03-07,2025,03,0.0,NRSC VIC MODEL
Telangana,Medchal Malkajgiri,2025-03-08,2025,03,0.0,NRSC VIC MODEL
Telangana,Medchal Malkajgiri,2025-03-21,2025,03,0.0004073803,NRSC VIC MODEL
Telangana,Medchal Malkajgiri,2025-03-28,2025,03,0.0,NRSC VIC MODEL
Telangana,Medchal Malkajgiri,2025-03-30,2025,03,0.0,NRSC VIC MODEL
Telangana,Medchal Malkajgiri,2025-04-04,2025,04,25.0933047192,NRSC VIC MODEL
Telangana,Medchal Malkajgiri,2025-04-10,2025,04,0.0,NRSC VIC MODEL
Telangana,Medchal Malkajgiri,2025-04-11,2025,04,0.0547511188,NRSC VIC MODEL
Telangana,Adilabad,2025-01-06,2025,01,0.0100346579,NRSC VIC MODEL
Telangana,Adilabad,2025-01-08,2025,01,0.0,NRSC VIC MODEL
Telangana,Adilabad,2025-01-23,2025,01,0.0025677431,NRSC VIC MODEL
Telangana,Jayashankar Bhupalapally,2025-02-23,2025,02,3.37278e-05,NRSC VIC MODEL
Telangana,Jayashankar Bhupalapally,2025-02-27,2025,02,0.0,NRSC VIC MODEL
Telangana,Jayashankar Bhupalapally,2025-02-28,2025,02,0.0,NRSC VIC MODEL
Telangana,Jayashankar Bhupalapally,2025-03-02,2025,03,0.0,NRSC VIC MODEL
Telangana,Jayashankar Bhupalapally,2025-03-04,2025,03,0.0,NRSC VIC MODEL
Telangana,Jayashankar Bhupalapally,2025-03-20,2025,03,0.0,NRSC VIC MODEL
Telangana,Jayashankar Bhupalapally,2025-03-31,2025,03,0.0,NRSC VIC MODEL
Telangana,Jayashankar Bhupalapally,2025-04-09,2025,04,0.0,NRSC VIC MODEL
Telangana,Jayashankar Bhupalapally,2025-04-16,2025,04,12.2376879358,NRSC VIC MODEL
Telangana,Jayashankar Bhupalapally,2025-04-18,2025,04,0.0009162537,NRSC VIC MODEL
Telangana,Jayashankar Bhupalapally,2025-04-12,2025,04,0.0506412026,NRSC VIC MODEL
Telangana,Jayashankar Bhupalapally,2025-04-22,2025,04,0.0,NRSC VIC MODEL
Telangana,Jayashankar Bhupalapally,2025-04-27,2025,04,4.9049122816,NRSC VIC MODEL
Telangana,Jayashankar Bhupalapally,2025-05-04,2025,05,0.000168639,NRSC VIC MODEL
Telangana,Jayashankar Bhupalapally,2025-05-06,2025,05,3.8069640646,NRSC VIC MODEL
Telangana,Jayashankar Bhupalapally,2025-05-07,2025,05,1.279310451,NRSC VIC MODEL
Telangana,Jayashankar Bhupalapally,2025-05-17,2025,05,24.5172749625,NRSC VIC MODEL
Telangana,Jayashankar Bhupalapally,2025-05-25,2025,05,2.7224646089,NRSC VIC MODEL
Telangana,Jayashankar Bhupalapally,2025-06-01,2025,06,0.0002116812,NRSC VIC MODEL
Telangana,Jayashankar Bhupalapally,2025-06-03,2025,06,0.0047463177,NRSC VIC MODEL
Telangana,Jayashankar Bhupalapally,2025-06-04,2025,06,0.1585655394,NRSC VIC MODEL
Telangana,Jayashankar Bhupalapally,2025-06-08,2025,06,0.7989269802,NRSC VIC MODEL
Telangana,Jayashankar Bhupalapally,2025-06-16,2025,06,0.0066064882,NRSC VIC MODEL
Telangana,Jayashankar Bhupalapally,2025-06-26,2025,06,6.9251000816,NRSC VIC MODEL
Telangana,Jogulamba Gadwal,2025-01-11,2025,01,0.0,NRSC VIC MODEL
Telangana,Jogulamba Gadwal,2025-01-13,2025,01,0.0,NRSC VIC MODEL
Telangana,Jogulamba Gadwal,2025-01-25,2025,01,0.0,NRSC VIC MODEL
Telangana,Jogulamba Gadwal,2025-01-28,2025,01,0.0,NRSC VIC MODEL
Telangana,Jogulamba Gadwal,2025-02-04,2025,02,1.95022e-05,NRSC VIC MODEL
Telangana,Jogulamba Gadwal,2025-02-07,2025,02,0.0,NRSC VIC MODEL
Telangana,Jogulamba Gadwal,2025-02-08,2025,02,0.0,NRSC VIC MODEL
Telangana,Jogulamba Gadwal,2025-02-15,2025,02,0.0,NRSC VIC MODEL
Telangana,Jogulamba Gadwal,2025-02-25,2025,02,0.0,NRSC VIC MODEL
Telangana,Jogulamba Gadwal,2025-03-07,2025,03,0.0,NRSC VIC MODEL
Telangana,Jogulamba Gadwal,2025-03-12,2025,03,0.0,NRSC VIC MODEL
Telangana,Jogulamba Gadwal,2025-03-14,2025,03,0.0,NRSC VIC MODEL
Telangana,Jogulamba Gadwal,2025-03-22,2025,03,0.0131799267,NRSC VIC MODEL
Telangana,Jogulamba Gadwal,2025-03-24,2025,03,0.0,NRSC VIC MODEL
Telangana,Jogulamba Gadwal,2025-04-03,2025,04,0.0038047601,NRSC VIC MODEL
Telangana,Jogulamba Gadwal,2025-04-04,2025,04,18.2456481394,NRSC VIC MODEL
Telangana,Jogulamba Gadwal,2025-04-11,2025,04,0.1682694224,NRSC VIC MODEL
Telangana,Jogulamba Gadwal,2025-04-17,2025,04,0.0019215355,NRSC VIC MODEL
Telangana,Jogulamba Gadwal,2025-04-22,2025,04,0.0,NRSC VIC MODEL
Telangana,Jogulamba Gadwal,2025-05-07,2025,05,0.277391821,NRSC VIC MODEL
Telangana,Jogulamba Gadwal,2025-05-08,2025,05,0.043823321,NRSC VIC MODEL
Telangana,Jogulamba Gadwal,2025-05-24,2025,05,4.29845e-05,NRSC VIC MODEL
Telangana,Jogulamba Gadwal,2025-05-27,2025,05,3.2286846764,NRSC VIC MODEL
Telangana,Jogulamba Gadwal,2025-06-02,2025,06,1.2208361206,NRSC VIC MODEL
Telangana,Jogulamba Gadwal,2025-06-09,2025,06,0.5483031981,NRSC VIC MODEL
Telangana,Jogulamba Gadwal,2025-06-11,2025,06,0.472881958,NRSC VIC MODEL
Telangana,Jogulamba Gadwal,2025-06-17,2025,06,1.3576798995,NRSC VIC MODEL
Telangana,Jogulamba Gadwal,2025-06-23,2025,06,4.1865169398,NRSC VIC MODEL
Telangana,Jogulamba Gadwal,2025-06-25,2025,06,5.7402699102,NRSC VIC MODEL
Telangana,Kamareddy,2025-01-01,2025,01,0.0001309195,NRSC VIC MODEL
Telangana,Kamareddy,2025-01-08,2025,01,0.0,NRSC VIC MODEL
Telangana,Kamareddy,2025-01-11,2025,01,0.0,NRSC VIC MODEL
Telangana,Kamareddy,2025-01-13,2025,01,0.0,NRSC VIC MODEL
Telangana,Kamareddy,2025-01-15,2025,01,0.0,NRSC VIC MODEL
Telangana,Kamareddy,2025-01-20,2025,01,0.0002321047,NRSC VIC MODEL
Telangana,Kamareddy,2025-01-27,2025,01,0.0,NRSC VIC MODEL
Telangana,Kamareddy,2025-02-05,2025,02,0.0,NRSC VIC MODEL
Telangana,Kamareddy,2025-02-15,2025,02,0.0,NRSC VIC MODEL
Telangana,Kamareddy,2025-02-18,2025,02,0.0,NRSC VIC MODEL
Telangana,Kamareddy,2025-03-02,2025,03,0.0,NRSC VIC MODEL
Telangana,Kamareddy,2025-03-11,2025,03,0.0,NRSC VIC MODEL
Telangana,Kamareddy,2025-03-13,2025,03,0.0,NRSC VIC MODEL
Telangana,Kamareddy,2025-03-17,2025,03,0.0,NRSC VIC MODEL
Telangana,Kamareddy,2025-03-25,2025,03,0.0628304241,NRSC VIC MODEL
Telangana,Kamareddy,2025-04-04,2025,04,7.6654186833,NRSC VIC MODEL
